"day","year","mo","da","collision_date","temp","dewp","slp","visib","wdsp","mxpsd","gust","max","min","prcp","fog","NUM_COLLISIONS"
2,2016,5,24,"2016-05-24",54.6,52,1011.7,4.4,10.7,15.9,18.1,72,51.1,0,1,1.0483439286593
2,2014,9,23,"2014-09-23",59,42.3,1022.8,10,9.3,15.9,22.9,72,53.1,0.01,0,0.14722254392045
1,2016,5,23,"2016-05-23",59.4,50.3,1011.9,10,9.6,15.9,0,72,52,0.03,0,0.6721476224091
2,2018,8,28,"2018-08-28",73,71.2,1016.6,3.5,9,15.9,20,84,66.9,0,1,1.22331895482218
2,2020,9,1,"2020-09-01",65.7,57.5,1022.2,10,9.9,15.9,21,73,60.1,0,0,-2.08370903965631
7,2018,9,9,"2018-09-09",62.6,50.8,1022.8,10,10,15.9,22.9,73,59,0.01,0,-0.16773250317274
7,2014,8,24,"2014-08-24",63.9,56.8,1019.4,10,9,15.9,22,73,55,0.01,0,-1.2088339088419
1,2019,9,23,"2019-09-23",68.5,65.6,1013.3,8.1,12,15.9,19,73,57,0,0,0.558413855403226
3,2016,6,1,"2016-06-01",64,56.4,1018.2,7.6,9.1,15.9,22,73,57,0.05,1,1.7219977793864
1,2019,7,1,"2019-07-01",66.9,59.9,1010,10,10.4,15.9,22,77,62.1,0.21,0,1.03084642604301
7,2020,7,12,"2020-07-12",71.8,67.5,1006.4,7,11.6,15.9,21,77,66.9,0,1,-2.4774028485228
6,2012,9,8,"2012-09-08",75.3,69.6,1007.5,8.8,5.8,15.9,28.9,81,69.1,0,1,0.199715051769315
3,2013,6,26,"2013-06-26",69.5,64.6,1008.6,6.1,9.9,15.9,26,81,64,0,1,0.400936331856631
6,2015,2,21,"2015-02-21",21.9,10.6,1031.6,10,8.5,15.9,0,37,3.9,0,0,-0.508933804190362
1,2013,3,18,"2013-03-18",32.1,15.5,1027.6,10,9,15.9,20,37,26.1,0,0,0.418433834472919
5,2015,1,23,"2015-01-23",31.6,20.4,1022.8,10,10.4,15.9,0,39,27,0.09,0,0.199715051769315
4,2015,3,5,"2015-03-05",32.7,30.2,1014.8,1.6,10,15.9,25.1,41,24.1,0.31,1,2.22942535525876
5,2013,12,27,"2013-12-27",33.1,22.7,1023.9,10,10,15.9,22,43,23,0.22,0,-0.867632607824273
4,2012,11,29,"2012-11-29",37.5,21.9,1025.9,9.7,5.8,15.9,22.9,43,32,0.01,0,-0.52643130680665
7,2018,3,11,"2018-03-11",36.3,24.8,1014.2,10,11.4,15.9,22,43,30.9,0,0,-0.963868872213859
4,2013,2,14,"2013-02-14",36.6,29.3,1010.5,8.4,8.9,15.9,21,43,28,0.11,0,0.488423844938073
2,2019,3,19,"2019-03-19",35.2,22.6,1027.5,10,8.2,15.9,21,43,25,0,0,-0.0889937413994421
5,2019,2,8,"2019-02-08",40.6,39.4,1012.4,3,9.8,15.9,22.9,45,36,0.02,1,0.750886384182398
2,2016,2,23,"2016-02-23",36.5,26.3,1028.2,10,9.9,15.9,22.9,45,28.9,0.04,0,0.418433834472919
6,2014,3,15,"2014-03-15",41.3,34.3,1011.5,8.8,12,15.9,18.1,45,36,0,0,-0.491436301574074
5,2017,3,31,"2017-03-31",37.6,30.7,1020.9,9.2,6.2,15.9,21,45,30.9,0,0,1.55577150453166
1,2017,4,10,"2017-04-10",46.9,39.6,1023.2,10,10.2,15.9,0,55,39.9,0,0,0.514670098862505
2,2017,4,11,"2017-04-11",49.8,44,1021.8,8.8,12.1,15.9,0,55,41,0,0,-0.491436301574074
